538.783 ; 538.975 ; None
538.975 ; 541.969 ; spk2
541.969 ; 542.329 ; None
542.329 ; 544.764 ; spk2
544.764 ; 544.992 ; None
544.992 ; 545.464 ; spk2
545.464 ; 545.869 ; None
545.869 ; 546.83 ; spk2
546.83 ; 547.108 ; None
547.108 ; 549.88 ; spk2
549.88 ; 550.135 ; None
550.135 ; 554.289 ; spk2
554.289 ; 554.67 ; None
554.67 ; 555.012 ; spk1
555.012 ; 555.326 ; None
555.326 ; 557.797 ; spk1
557.797 ; 558.045 ; None
558.045 ; 561.835 ; spk3
561.835 ; 562.159 ; None
562.159 ; 563.726 ; spk3
563.726 ; 564.041 ; None
564.041 ; 566.923 ; spk3
566.923 ; 567.143 ; None
567.143 ; 569.138 ; spk3
569.138 ; 569.403 ; None
569.403 ; 571.067 ; spk3
571.067 ; 571.327 ; None
571.327 ; 573.146 ; spk3
573.146 ; 573.398 ; None
573.398 ; 575.082 ; spk3
575.082 ; 575.271 ; None
575.271 ; 580.804 ; spk3
580.804 ; 582.149 ; None
582.149 ; 584.66 ; spk1
584.66 ; 598.21 ; None
598.21 ; 601.906 ; spk1
601.906 ; 602.265 ; None
602.265 ; 603.155 ; spk1
603.155 ; 604.372 ; None
604.372 ; 605.337 ; spk1
605.337 ; 606.51 ; None
606.51 ; 610.96 ; spk2
610.96 ; 611.278 ; None
611.278 ; 614.212 ; spk2
614.212 ; 614.535 ; None
614.535 ; 615.114 ; spk2
615.114 ; 615.396 ; None
615.396 ; 624.393 ; spk2
624.393 ; 624.994 ; None
624.994 ; 625.839 ; spk1
625.839 ; 626.073 ; None
626.073 ; 629.007 ; spk1
629.007 ; 630.525 ; None
630.525 ; 632.3 ; spk1
632.3 ; 632.601 ; None
632.601 ; 633.797 ; spk1
633.797 ; 634.129 ; None
634.129 ; 636.24 ; spk1
636.24 ; 636.568 ; None
636.568 ; 637.803 ; spk1
637.803 ; 639.953 ; spk1
639.953 ; 640.249 ; None
640.249 ; 641.003 ; spk1
641.003 ; 641.664 ; None
641.664 ; 642.157 ; spk1
642.157 ; 643.576 ; None
643.576 ; 644.664 ; spk1
644.664 ; 644.946 ; None
644.946 ; 646.263 ; spk1
646.263 ; 649.197 ; None
649.197 ; 650.189 ; spk1
650.189 ; 650.643 ; None
650.643 ; 653.701 ; spk1
653.701 ; 654.127 ; None
654.127 ; 656.284 ; spk1
656.284 ; 657.094 ; None
657.094 ; 658.176 ; spk1
658.176 ; 660.614 ; None
660.614 ; 662.376 ; spk1
662.376 ; 662.928 ; None
662.928 ; 664.859 ; spk1
664.859 ; 665.192 ; None
665.192 ; 665.785 ; spk1
665.785 ; 666.01 ; None
666.01 ; 666.548 ; spk1
666.548 ; 666.916 ; None
666.916 ; 667.914 ; spk1
667.914 ; 669.818 ; None
669.818 ; 671.126 ; spk1
671.126 ; 671.256 ; None
671.256 ; 673.124 ; spk2
673.124 ; 673.577 ; None
673.577 ; 678.932 ; spk2
678.932 ; 679.183 ; None
679.183 ; 680.472 ; spk2
680.472 ; 680.786 ; None
680.786 ; 683.806 ; spk2
683.806 ; 684.102 ; None
684.102 ; 688.909 ; spk1
688.909 ; 689.519 ; None
689.519 ; 690.436 ; spk1
690.436 ; 691.065 ; spk2
691.065 ; 691.829 ; spk1
691.829 ; 692.135 ; None
692.135 ; 692.858 ; spk2
692.858 ; 693.756 ; spk2 spk1
693.756 ; 694.107 ; spk1
694.107 ; 694.65 ; spk1 spk2
694.65 ; 695.188 ; None
695.188 ; 696.248 ; spk1
696.248 ; 696.481 ; None
696.481 ; 698.763 ; spk2
698.763 ; 699.06 ; spk1 spk2
699.06 ; 699.962 ; spk1
699.962 ; 702.262 ; None
702.262 ; 703.331 ; spk1
703.331 ; 706.476 ; None
706.476 ; 708.085 ; spk1
708.085 ; 708.782 ; None
708.782 ; 709.815 ; spk1
709.815 ; 710.619 ; None
710.619 ; 711.44 ; spk1
711.44 ; 711.953 ; None
711.953 ; 712.739 ; spk2
712.739 ; 713.255 ; spk1 spk2
713.255 ; 714.032 ; spk1
714.032 ; 714.777 ; None
714.777 ; 717.159 ; spk1
717.159 ; 717.468 ; None
717.468 ; 718.807 ; spk1
718.807 ; 719.185 ; None
719.185 ; 720.285 ; spk1
720.285 ; 720.582 ; None
720.582 ; 722.491 ; spk1
722.491 ; 722.823 ; None
722.823 ; 723.303 ; spk1
723.303 ; 726.547 ; None
726.547 ; 730.362 ; spk1
