5311.326 ; 5339.495 ; report ; to203
5339.495 ; 5352.697 ; report ; to204
5352.697 ; 5359.978 ; report ; to205
5359.978 ; 5367.38 ; report ; to206
5367.38 ; 5371.229 ; report ; to207
5371.229 ; 5391.906 ; report ; to208
5391.906 ; 5421.201 ; report ; to209
5421.201 ; 5527.456 ; report ; to210
5527.456 ; 5539.2 ; report ; to211
5539.2 ; 5560.957 ; report ; to212
5560.957 ; 5597.99 ; report ; to213
5597.99 ; 5641.293 ; report ; to214
5641.293 ; 5654.069 ; report ; to215
5654.069 ; 5659.804 ; report ; to216
5659.804 ; 5663.936 ; report ; to217
5663.936 ; 5727.459 ; report ; to218
5727.459 ; 5730.981 ; report ; to219
5730.981 ; 5741.735 ; report ; to220
5741.735 ; 5780.482 ; report ; to221
5780.482 ; 5810.208 ; report ; to222
5810.208 ; 5845.73 ; report ; to223
5845.73 ; 5857.114 ; report ; to224
5857.114 ; 5864.693 ; report ; to225
5864.693 ; 5867.415 ; report ; to226
5867.415 ; 5871.588 ; report ; to227
5871.588 ; 5884.956 ; report ; to228
5884.956 ; 5929.891 ; report ; to229
5929.891 ; 5934.131 ; report ; to230
5934.131 ; 5949.055 ; report ; to231
5949.055 ; 6007.538 ; report ; to232
6007.538 ; 6011.46 ; report ; to233
6011.46 ; 6030.431 ; report ; to234
6030.431 ; 6034.886 ; report ; to235
6034.886 ; 6058.133 ; report ; to236
6058.133 ; 6064.08 ; report ; to237
6064.08 ; 6071.871 ; report ; to238
6071.871 ; 6093.926 ; report ; to239
6093.926 ; 6099.819 ; report ; to240
6099.819 ; 6123.413 ; report ; to241
6123.413 ; 6195.168 ; report ; to242
6195.168 ; 6274.928 ; report ; to243
6274.928 ; 6437.028 ; report ; to244
6437.028 ; 6501.402 ; nontrans ; None
